Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1992-10-06,3.3267,3.3267,3.3267,3.3267,191882
1992-10-08,3.212,3.212,3.212,3.212,143430
1992-10-13,2.9007,2.9007,2.9007,2.9007,152876
1992-10-15,2.9499,2.9499,2.9499,2.9499,94276
1992-10-20,3.2448,3.2448,3.2448,3.2448,146386
1992-10-22,3.5562,3.5562,3.5562,3.5562,116359
1992-10-27,3.6053,3.6053,3.6053,3.6053,128448
1992-10-29,3.4579,3.4579,3.4579,3.4579,94625
1992-11-03,3.4579,3.4579,3.4579,3.4579,57436
1992-11-05,3.4415,3.4415,3.4415,3.4415,49731
1992-11-10,3.4743,3.4743,3.4743,3.4743,92581
1992-11-12,3.4743,3.4743,3.4743,3.4743,12448
1992-11-17,3.212,3.212,3.212,3.212,37328
1992-11-19,3.3103,3.3103,3.3103,3.3103,25843
1992-11-24,3.2612,3.2612,3.2612,3.2612,46608
1992-11-26,3.081,3.081,3.081,3.081,32474
1992-12-01,3.2776,3.2776,3.2776,3.2776,40120
1992-12-03,3.3103,3.3103,3.3103,3.3103,31808
1992-12-08,3.3431,3.3431,3.3431,3.3431,59076
1992-12-10,3.294,3.294,3.294,3.294,45113
1992-12-15,3.2612,3.2612,3.2612,3.2612,25037
1992-12-17,3.2285,3.2285,3.2285,3.2285,17733
1992-12-22,3.1793,3.1793,3.1793,3.1793,32791
1992-12-29,3.1138,3.1138,3.1138,3.1138,37720
1993-01-04,3.1301,3.1301,3.1301,3.1301,11454
1993-01-05,3.212,3.212,3.212,3.212,21949
1993-01-07,3.294,3.294,3.294,3.294,39191
1993-01-11,3.3595,3.3595,3.3595,3.3595,35941
1993-01-12,3.3923,3.3923,3.3923,3.3923,33311
1993-01-14,3.3923,3.3923,3.3923,3.3923,33620
1993-01-18,3.3595,3.3595,3.3595,3.3595,26313
1993-01-19,3.3267,3.3267,3.3267,3.3267,18337
1993-01-21,3.3103,3.3103,3.3103,3.3103,20919
1993-01-25,3.3103,3.3103,3.3103,3.3103,26386
1993-01-26,3.2776,3.2776,3.2776,3.2776,24956
1993-01-28,3.212,3.212,3.212,3.212,21482
1993-02-01,3.1957,3.1957,3.1957,3.1957,26834
1993-02-02,3.2285,3.2285,3.2285,3.2285,19607
1993-02-04,3.2285,3.2285,3.2285,3.2285,31919
1993-02-08,3.2612,3.2612,3.2612,3.2612,21572
1993-02-09,3.212,3.212,3.212,3.212,33467
1993-02-11,3.1465,3.1465,3.1465,3.1465,42618
1993-02-15,3.1465,3.1465,3.1465,3.1465,23247
1993-02-16,3.1465,3.1465,3.1465,3.1465,12808
1993-02-18,3.1138,3.1138,3.1138,3.1138,72791
1993-02-22,3.081,3.081,3.081,3.081,23159
1993-02-23,3.1138,3.1138,3.1138,3.1138,14115
1993-02-25,3.1138,3.1138,3.1138,3.1138,39133
1993-03-01,3.1629,3.1629,3.1629,3.1629,22527
1993-03-02,3.1957,3.1957,3.1957,3.1957,39210
1993-03-04,3.2285,3.2285,3.2285,3.2285,23385
1993-03-08,3.2448,3.2448,3.2448,3.2448,56474
1993-03-09,3.3431,3.3431,3.3431,3.3431,72492
1993-03-11,3.4415,3.4415,3.4415,3.4415,115227
1993-03-15,3.4906,3.4906,3.4906,3.4906,79455
1993-03-16,3.2612,3.2612,3.2612,3.2612,22584
1993-03-18,3.3267,3.3267,3.3267,3.3267,31803
1993-03-22,3.3923,3.3923,3.3923,3.3923,42536
1993-03-23,3.4743,3.4743,3.4743,3.4743,94940
1993-03-25,3.4579,3.4579,3.4579,3.4579,42627
1993-03-29,3.4087,3.4087,3.4087,3.4087,28985
1993-03-30,3.4415,3.4415,3.4415,3.4415,56879
1993-04-01,3.4415,3.4415,3.4415,3.4415,51867
1993-04-05,3.4415,3.4415,3.4415,3.4415,32152
1993-04-06,3.4415,3.4415,3.4415,3.4415,24859
1993-04-08,3.4906,3.4906,3.4906,3.4906,70461
1993-04-13,3.5234,3.5234,3.5234,3.5234,131889
1993-04-15,3.6053,3.6053,3.6053,3.6053,138946
1993-04-19,3.9659,3.9659,3.9659,3.9659,155915
1993-04-20,4.3592,4.3592,4.3592,4.3592,75220
1993-04-22,4.7853,4.7853,4.7853,4.7853,150126
1993-04-26,4.31,4.31,4.31,4.31,158688
1993-04-27,4.4083,4.4083,4.4083,4.4083,228757
1993-04-29,4.5888,4.5888,4.5888,4.5888,145882
1993-05-04,4.8345,4.8345,4.8345,4.8345,187964
1993-05-06,5.0803,5.0803,5.0803,5.0803,166476
1993-05-10,5.5884,5.5884,5.5884,5.5884,178122
1993-05-11,6.1455,6.1455,6.1455,6.1455,99642
1993-05-13,6.2111,6.2111,6.2111,6.2111,189848
1993-05-17,5.7358,5.7358,5.7358,5.7358,275680
1993-05-18,6.3094,6.3094,6.3094,6.3094,166426
1993-05-20,6.8829,6.8829,6.8829,6.8829,239068
1993-05-24,6.8829,6.8829,6.8829,6.8829,234165
1993-05-25,7.5712,7.5712,7.5712,7.5712,170375
1993-05-27,8.2759,8.2759,8.2759,8.2759,195984
1993-05-31,9.0957,9.0957,9.0957,9.0957,144871
1993-06-01,8.3579,8.3579,8.3579,8.3579,102705
1993-06-03,7.522,7.522,7.522,7.522,136671
1993-06-07,6.7846,6.7846,6.7846,6.7846
1993-06-08,6.1127,6.1127,6.1127,6.1127,71237
1993-06-09,5.5064,5.5064,5.5064,5.5064,156536
1993-06-14,6.0471,6.0471,6.0471,6.0471
1993-06-15,6.6372,6.6372,6.6372,6.6372
1993-06-17,7.2927,7.2927,7.2927,7.2927,447524
1993-06-21,6.5715,6.5715,6.5715,6.5715,238596
1993-06-22,6.9977,6.9977,6.9977,6.9977,54088
1993-06-24,6.9977,6.9977,6.9977,6.9977,135331
1993-06-28,7.2108,7.2108,7.2108,7.2108,107500
1993-06-29,7.2108,7.2108,7.2108,7.2108,105300
1993-07-01,7.9318,7.9318,7.9318,7.9318,353028
1993-07-05,8.6857,8.6857,8.6857,8.6857,299178
1993-07-06,8.6857,8.6857,8.6857,8.6857,173209
1993-07-08,7.8171,7.8171,7.8171,7.8171,357064
1993-07-12,8.5218,8.5218,8.5218,8.5218,159198
1993-07-13,8.8496,8.8496,8.8496,8.8496,154980
1993-07-15,9.0134,9.0134,9.0134,9.0134,212771
1993-07-19,8.9315,8.9315,8.9315,8.9315,99008
1993-07-20,9.1768,9.1768,9.1768,9.1768,143790
1993-07-22,9.0957,9.0957,9.0957,9.0957,68678
1993-07-26,9.0134,9.0134,9.0134,9.0134,95597
1993-07-27,8.7677,8.7677,8.7677,8.7677,77633
1993-07-29,8.6857,8.6857,8.6857,8.6857,93786
1993-08-02,8.7677,8.7677,8.7677,8.7677,104777
1993-08-03,9.0134,9.0134,9.0134,9.0134,111233
1993-08-05,9.2591,9.2591,9.2591,9.2591,130994
1993-08-09,10.161,10.161,10.161,10.161,121386
1993-08-10,11.144,11.144,11.144,11.144,79192
1993-08-12,11.308,11.308,11.308,11.308,236148
1993-08-16,11.635,11.635,11.635,11.635,117111
1993-08-17,12.782,12.782,12.782,12.782,113075
1993-08-19,14.013,14.013,14.013,14.013,166199
1993-08-23,15.405,15.405,15.405,15.405,60154
1993-08-24,16.88,16.88,16.88,16.88,53344
1993-08-26,18.519,18.519,18.519,18.519,208640
1993-08-30,16.715,16.715,16.715,16.715,73418
1993-08-31,15.077,15.077,15.077,15.077,69997
1993-09-02,16.552,16.552,16.552,16.552,111827
1993-09-06,18.19,18.19,18.19,18.19,183890
1993-09-07,16.388,16.388,16.388,16.388,81492
1993-09-09,14.75,14.75,14.75,14.75,161778
1993-09-13,14.013,14.013,14.013,14.013,66116
1993-09-14,14.75,14.75,14.75,14.75,116128
1993-09-16,15.241,15.241,15.241,15.241,103821
1993-09-20,13.766,13.766,13.766,13.766,97907
1993-09-21,13.11,13.11,13.11,13.11,116773
1993-09-23,12.291,12.291,12.291,12.291,110178
1993-09-27,13.356,13.356,13.356,13.356,98895
1993-09-28,14.586,14.586,14.586,14.586,98523
1993-09-30,15.405,15.405,15.405,15.405,146864
1993-10-04,16.88,16.88,16.88,16.88,285746
1993-10-05,17.862,17.862,17.862,17.862,142932
1993-10-07,17.207,17.207,17.207,17.207,119775
1993-10-11,18.027,18.027,18.027,18.027,212375
1993-10-12,18.765,18.765,18.765,18.765,111431
1993-10-14,18.027,18.027,18.027,18.027,141243
1993-10-18,18.765,18.765,18.765,18.765,162465
1993-10-19,18.847,18.847,18.847,18.847,189994
1993-10-21,18.19,18.19,18.19,18.19,175648
1993-10-26,17.78,17.78,17.78,17.78,127690
1993-10-28,18.765,18.765,18.765,18.765,102930
1993-11-02,19.42,19.42,19.42,19.42,131572
1993-11-04,19.993,19.993,19.993,19.993,132011
1993-11-08,19.666,19.666,19.666,19.666,150724
1993-11-09,19.666,19.666,19.666,19.666,99611
1993-11-10,20.485,20.485,20.485,20.485,72768
1993-11-15,22.124,22.124,22.124,22.124,105833
1993-11-16,23.845,23.845,23.845,23.845,109603
1993-11-18,22.861,22.861,22.861,22.861,122374
1993-11-22,22.697,22.697,22.697,22.697,155191
1993-11-23,23.352,23.352,23.352,23.352,90884
1993-11-25,22.943,22.943,22.943,22.943,85261
1993-11-29,23.271,23.271,23.271,23.271,119753
1993-11-30,23.762,23.762,23.762,23.762,124623
1993-12-02,26.139,26.139,26.139,26.139,188124
1993-12-06,28.678,28.678,28.678,28.678
1993-12-07,31.547,31.547,31.547,31.547,420897
1993-12-09,28.515,28.515,28.515,28.515,254210
1993-12-13,28.023,28.023,28.023,28.023,229886
1993-12-14,28.269,28.269,28.269,28.269,190922
1993-12-16,28.843,28.843,28.843,28.843,158632
1993-12-20,29.006,29.006,29.006,29.006,154674
1993-12-21,30.154,30.154,30.154,30.154,142524
1993-12-23,32.776,32.776,32.776,32.776,224419
1993-12-27,34.415,34.415,34.415,34.415,273724
1993-12-28,33.022,33.022,33.022,33.022,194448
1993-12-30,36.3,36.3,36.3,36.3,408451
1994-01-03,39.331,39.331,39.331,39.331,172906
1994-01-04,35.398,35.398,35.398,35.398,339203
1994-01-06,37.037,37.037,37.037,37.037,362118
1994-01-10,35.972,35.972,35.972,35.972,180535
1994-01-11,35.972,35.972,35.972,35.972,124060
1994-01-13,35.972,35.972,35.972,35.972,223371
1994-01-17,35.972,35.972,35.972,35.972,209226
1994-01-18,36.054,36.054,36.054,36.054,310055
1994-01-20,39.659,39.659,39.659,39.659,419880
1994-01-24,40.97,40.97,40.97,40.97,182901
1994-01-25,44.248,44.248,44.248,44.248,252879
1994-01-27,44.248,44.248,44.248,44.248,355607
1994-01-31,39.823,39.823,39.823,39.823,317585
1994-02-01,35.89,35.89,35.89,35.89,121974
1994-02-03,32.776,32.776,32.776,32.776,330578
1994-02-07,36.054,36.054,36.054,36.054
1994-02-08,39.659,39.659,39.659,39.659,364443
1994-02-10,40.152,40.152,40.152,40.152,176794
1994-02-14,40.233,40.233,40.233,40.233,112442
1994-02-15,40.97,40.97,40.97,40.97,265327
1994-02-17,41.872,41.872,41.872,41.872,202928
1994-02-21,40.97,40.97,40.97,40.97,163803
1994-02-22,40.97,40.97,40.97,40.97,148181
1994-02-24,40.97,40.97,40.97,40.97,170552
1994-02-28,42.609,42.609,42.609,42.609,262112
1994-03-01,44.493,44.493,44.493,44.493,199401
1994-03-03,45.231,45.231,45.231,45.231,225182
1994-03-07,44.329,44.329,44.329,44.329,101642
1994-03-08,43.92,43.92,43.92,43.92,72083
1994-03-10,39.577,39.577,39.577,39.577,125024
1994-03-14,41.462,41.462,41.462,41.462,153801
1994-03-15,41.216,41.216,41.216,41.216,67983
1994-03-17,41.462,41.462,41.462,41.462,134653
1994-03-21,37.365,37.365,37.365,37.365,80938
1994-03-22,34.415,34.415,34.415,34.415,125793
1994-03-24,37.857,37.857,37.857,37.857,220801
1994-03-28,34.087,34.087,34.087,34.087,107054
1994-03-29,30.728,30.728,30.728,30.728,181700
1994-03-31,30.318,30.318,30.318,30.318,146336
1994-04-05,31.219,31.219,31.219,31.219,108267
1994-04-07,32.94,32.94,32.94,32.94,238168
1994-04-08,32.612,32.612,32.612,32.612,138962
1994-04-11,29.417,29.417,29.417,29.417
1994-04-12,26.303,26.303,26.303,26.303,125129
1994-04-14,26.303,26.303,26.303,26.303,102331
1994-04-18,27.778,27.778,27.778,27.778,95093
1994-04-19,28.351,28.351,28.351,28.351,96057
1994-04-21,31.465,31.465,31.465,31.465,96516
1994-04-25,31.465,31.465,31.465,31.465,102454
1994-04-26,28.351,28.351,28.351,28.351
1994-04-28,25.566,25.566,25.566,25.566,79190
1994-05-05,26.631,26.631,26.631,26.631,154728
1994-05-06,24.009,24.009,24.009,24.009,134964
1994-05-09,21.796,21.796,21.796,21.796,64230
1994-05-10,22.616,22.616,22.616,22.616,70440
1994-05-12,23.762,23.762,23.762,23.762,93843
1994-05-16,25.238,25.238,25.238,25.238,89302
1994-05-17,25.238,25.238,25.238,25.238,112265
1994-05-19,26.221,26.221,26.221,26.221,128600
1994-05-23,27.859,27.859,27.859,27.859,163869
1994-05-24,29.006,29.006,29.006,29.006,114036
1994-05-26,28.351,28.351,28.351,28.351,131047
1994-05-30,28.678,28.678,28.678,28.678,116622
1994-05-31,28.351,28.351,28.351,28.351,86247
1994-06-01,25.566,25.566,25.566,25.566,76362
1994-06-06,24.5,24.5,24.5,24.5,54565
1994-06-07,23.762,23.762,23.762,23.762,88065
1994-06-09,23.762,23.762,23.762,23.762,94112
1994-06-13,21.387,21.387,21.387,21.387
1994-06-14,19.256,19.256,19.256,19.256,141585
1994-06-16,20.403,20.403,20.403,20.403,72798
1994-06-20,21.304,21.304,21.304,21.304,176265
1994-06-21,20.403,20.403,20.403,20.403,154962
1994-06-23,20.075,20.075,20.075,20.075,120722
1994-06-27,22.042,22.042,22.042,22.042,74023
1994-06-28,23.271,23.271,23.271,23.271,86899
1994-06-30,22.943,22.943,22.943,22.943,129105
1994-07-04,23.352,23.352,23.352,23.352,67613
1994-07-05,24.172,24.172,24.172,24.172,75409
1994-07-06,25.402,25.402,25.402,25.402,127581
1994-07-07,24.829,24.829,24.829,24.829,78868
1994-07-11,24.582,24.582,24.582,24.582,139885
1994-07-12,25.402,25.402,25.402,25.402,182371
1994-07-13,27.859,27.859,27.859,27.859,216429
1994-07-14,25.566,25.566,25.566,25.566,134552
1994-07-18,25.893,25.893,25.893,25.893,72186
1994-07-19,26.876,26.876,26.876,26.876,136591
1994-07-20,24.582,24.582,24.582,24.582,131079
1994-07-21,25.893,25.893,25.893,25.893,76227
1994-07-25,24.582,24.582,24.582,24.582,144341
1994-07-26,24.582,24.582,24.582,24.582,82917
1994-07-27,24.992,24.992,24.992,24.992,33792
1994-07-28,24.582,24.582,24.582,24.582,39031
1994-08-01,24.582,24.582,24.582,24.582,59938
1994-08-02,25.238,25.238,25.238,25.238,36382
1994-08-03,26.221,26.221,26.221,26.221,80302
1994-08-04,27.041,27.041,27.041,27.041,86947
1994-08-08,27.041,27.041,27.041,27.041,76232
1994-08-09,27.041,27.041,27.041,27.041,75789
1994-08-10,26.467,26.467,26.467,26.467,32074
1994-08-11,26.221,26.221,26.221,26.221,54071
1994-08-16,26.958,26.958,26.958,26.958,62888
1994-08-17,28.351,28.351,28.351,28.351,70526
1994-08-18,31.138,31.138,31.138,31.138,211411
1994-08-22,34.25,34.25,34.25,34.25,167755
1994-08-23,36.792,36.792,36.792,36.792,266935
1994-08-24,34.579,34.579,34.579,34.579,183215
1994-08-25,31.629,31.629,31.629,31.629,71420
1994-08-29,32.858,32.858,32.858,32.858,54390
1994-08-30,32.285,32.285,32.285,32.285,40001
1994-08-31,31.875,31.875,31.875,31.875,37444
1994-09-01,30.318,30.318,30.318,30.318,40429
1994-09-05,30.318,30.318,30.318,30.318,33278
1994-09-06,28.678,28.678,28.678,28.678,51374
1994-09-07,26.631,26.631,26.631,26.631,70943
1994-09-08,29.253,29.253,29.253,29.253,74734
1994-09-12,30.646,30.646,30.646,30.646,90113
1994-09-13,28.188,28.188,28.188,28.188,55144
1994-09-14,25.402,25.402,25.402,25.402,107136
1994-09-15,27.941,27.941,27.941,27.941,100232
1994-09-19,26.631,26.631,26.631,26.631,64210
1994-09-20,25.811,25.811,25.811,25.811,37337
1994-09-21,27.041,27.041,27.041,27.041,119719
1994-09-22,27.45,27.45,27.45,27.45,42781
1994-09-26,29.417,29.417,29.417,29.417,85872
1994-09-27,28.678,28.678,28.678,28.678,47493
1994-09-28,28.597,28.597,28.597,28.597,74142
1994-09-29,29.171,29.171,29.171,29.171,50864
1994-10-03,29.581,29.581,29.581,29.581,57176
1994-10-04,29.909,29.909,29.909,29.909,41115
1994-10-05,30.81,30.81,30.81,30.81,26474
1994-10-06,30.973,30.973,30.973,30.973,37536
1994-10-07,31.138,31.138,31.138,31.138,106601
1994-10-10,31.138,31.138,31.138,31.138,49534
1994-10-11,30.236,30.236,30.236,30.236,32566
1994-10-12,30.728,30.728,30.728,30.728,24686
1994-10-13,29.909,29.909,29.909,29.909,18273
1994-10-14,30.4,30.4,30.4,30.4,28092
1994-10-17,29.909,29.909,29.909,29.909,12110
1994-10-18,30.973,30.973,30.973,30.973,36137
1994-10-19,31.138,31.138,31.138,31.138,42706
1994-10-20,31.138,31.138,31.138,31.138,61275
1994-10-21,30.973,30.973,30.973,30.973,35365
1994-10-24,29.909,29.909,29.909,29.909,24405
1994-10-25,29.909,29.909,29.909,29.909,68187
1994-10-26,29.909,29.909,29.909,29.909,107076
1994-10-27,30.318,30.318,30.318,30.318,37085
1994-10-28,29.909,29.909,29.909,29.909,48127
1994-11-02,27.041,27.041,27.041,27.041,13178
1994-11-03,29.499,29.499,29.499,29.499,41571
1994-11-04,27.531,27.531,27.531,27.531,21819
1994-11-07,27.696,27.696,27.696,27.696,17518
1994-11-08,27.041,27.041,27.041,27.041,29297
1994-11-09,25.811,25.811,25.811,25.811,14595
1994-11-10,24.664,24.664,24.664,24.664,38528
1994-11-14,22.206,22.206,22.206,22.206,31955
1994-11-15,20.485,20.485,20.485,20.485,84833
1994-11-16,20.485,20.485,20.485,20.485,47813
1994-11-17,22.534,22.534,22.534,22.534,46454
1994-11-18,24.746,24.746,24.746,24.746,104506
1994-11-21,22.287,22.287,22.287,22.287,18756
1994-11-22,24.009,24.009,24.009,24.009,44055
1994-11-23,24.992,24.992,24.992,24.992,59448
1994-11-24,25.811,25.811,25.811,25.811,44584
1994-11-25,26.549,26.549,26.549,26.549,47685
1994-11-28,26.631,26.631,26.631,26.631,46452
1994-11-29,29.253,29.253,29.253,29.253,129180
1994-11-30,30.646,30.646,30.646,30.646,159409
1994-12-01,29.909,29.909,29.909,29.909,87131
1994-12-02,29.909,29.909,29.909,29.909,97633
1994-12-05,29.909,29.909,29.909,29.909,57867
1994-12-06,30.318,30.318,30.318,30.318,64570
1994-12-07,29.499,29.499,29.499,29.499,67740
1994-12-08,28.269,28.269,28.269,28.269,103442
1994-12-09,27.368,27.368,27.368,27.368,32527
1994-12-12,29.499,29.499,29.499,29.499,38184
1994-12-13,29.499,29.499,29.499,29.499,33080
1994-12-14,29.089,29.089,29.089,29.089,19949
1994-12-15,28.678,28.678,28.678,28.678,17258
1994-12-16,29.417,29.417,29.417,29.417,18011
1994-12-19,29.909,29.909,29.909,29.909,65403
1994-12-20,29.417,29.417,29.417,29.417,19304
1994-12-21,28.761,28.761,28.761,28.761,38277
1994-12-22,27.859,27.859,27.859,27.859,60701
1994-12-23,27.778,27.778,27.778,27.778,39613
1994-12-27,27.778,27.778,27.778,27.778,33148
1994-12-28,27.778,27.778,27.778,27.778,23476
1994-12-29,30.318,30.318,30.318,30.318,61288
1995-01-02,30.318,30.318,30.318,30.318,31515
1995-01-03,30.728,30.728,30.728,30.728,26264
1995-01-04,30.318,30.318,30.318,30.318,26288
1995-01-05,30.318,30.318,30.318,30.318,42254
1995-01-06,30.236,30.236,30.236,30.236,17033
1995-01-09,30.318,30.318,30.318,30.318,23715
1995-01-10,29.499,29.499,29.499,29.499,27681
1995-01-11,30.236,30.236,30.236,30.236,33552
1995-01-12,28.678,28.678,28.678,28.678,30806
1995-01-13,29.089,29.089,29.089,29.089,17602
1995-01-16,29.663,29.663,29.663,29.663,31084
1995-01-17,29.089,29.089,29.089,29.089,32247
1995-01-18,29.499,29.499,29.499,29.499,15001
1995-01-19,29.909,29.909,29.909,29.909,19893
1995-01-20,29.909,29.909,29.909,29.909,13658
1995-01-23,29.499,29.499,29.499,29.499,14035
1995-01-24,29.089,29.089,29.089,29.089,42250
1995-01-25,28.678,28.678,28.678,28.678,43917
1995-01-26,28.678,28.678,28.678,28.678,23310
1995-01-27,28.269,28.269,28.269,28.269,21330
1995-01-30,27.859,27.859,27.859,27.859,27315
1995-01-31,27.45,27.45,27.45,27.45,30583
1995-02-01,28.269,28.269,28.269,28.269,31731
1995-02-02,28.188,28.188,28.188,28.188,27831
1995-02-03,28.023,28.023,28.023,28.023,25103
1995-02-06,27.778,27.778,27.778,27.778,29305
1995-02-07,27.859,27.859,27.859,27.859,56299
1995-02-08,28.678,28.678,28.678,28.678,62224
1995-02-09,27.859,27.859,27.859,27.859,7467
1995-02-10,27.368,27.368,27.368,27.368,15584
1995-02-13,26.221,26.221,26.221,26.221,6063
1995-02-14,26.221,26.221,26.221,26.221,9783
1995-02-15,24.664,24.664,24.664,24.664,20758
1995-02-16,25.566,25.566,25.566,25.566,9094
1995-02-17,24.992,24.992,24.992,24.992,25869
1995-02-20,24.829,24.829,24.829,24.829,20923
1995-02-21,22.943,22.943,22.943,22.943,24823
1995-02-22,22.943,22.943,22.943,22.943,18677
1995-02-23,24.009,24.009,24.009,24.009,18473
1995-02-24,26.384,26.384,26.384,26.384,93747
1995-02-27,25.074,25.074,25.074,25.074,13640
1995-02-28,24.746,24.746,24.746,24.746,10993
1995-03-01,24.582,24.582,24.582,24.582,8948
1995-03-02,24.582,24.582,24.582,24.582,9784
1995-03-03,24.992,24.992,24.992,24.992,21448
1995-03-06,24.664,24.664,24.664,24.664,23050
1995-03-07,24.582,24.582,24.582,24.582,11533
1995-03-08,24.582,24.582,24.582,24.582,10800
1995-03-09,24.746,24.746,24.746,24.746,11254
1995-03-10,23.516,23.516,23.516,23.516,12841
1995-03-13,23.516,23.516,23.516,23.516,26130
1995-03-14,23.107,23.107,23.107,23.107,24212
1995-03-15,23.107,23.107,23.107,23.107,21271
1995-03-16,22.534,22.534,22.534,22.534,40606
1995-03-17,22.534,22.534,22.534,22.534,18482
1995-03-20,22.206,22.206,22.206,22.206,16595
1995-03-21,22.206,22.206,22.206,22.206,13712
1995-03-22,21.796,21.796,21.796,21.796,11539
1995-03-23,21.55,21.55,21.55,21.55,12575
1995-03-24,21.96,21.96,21.96,21.96,42031
1995-03-27,22.451,22.451,22.451,22.451,37124
1995-03-28,22.287,22.287,22.287,22.287,43276
1995-03-29,22.697,22.697,22.697,22.697,25071
1995-03-30,23.189,23.189,23.189,23.189,45905
1995-03-31,23.516,23.516,23.516,23.516,31615
1995-04-03,24.172,24.172,24.172,24.172,47761
1995-04-04,24.582,24.582,24.582,24.582,32869
1995-04-05,25.402,25.402,25.402,25.402,61433
1995-04-06,25.893,25.893,25.893,25.893,21337
1995-04-07,25.811,25.811,25.811,25.811,46685
1995-04-10,27.041,27.041,27.041,27.041,72262
1995-04-11,26.958,26.958,26.958,26.958,29990
1995-04-12,26.958,26.958,26.958,26.958,49094
1995-04-13,25.566,25.566,25.566,25.566,15060
1995-04-14,25.647,25.647,25.647,25.647,28989
1995-04-18,26.384,26.384,26.384,26.384,25962
1995-04-19,27.778,27.778,27.778,27.778,73585
1995-04-20,27.859,27.859,27.859,27.859,89646
1995-04-21,27.859,27.859,27.859,27.859,66852
1995-04-24,29.499,29.499,29.499,29.499,94868
1995-04-25,30.728,30.728,30.728,30.728,119436
1995-04-26,28.761,28.761,28.761,28.761,45060
1995-04-27,29.253,29.253,29.253,29.253,52184
1995-04-28,28.597,28.597,28.597,28.597,32118
1995-05-04,29.089,29.089,29.089,29.089,30390
1995-05-05,29.499,29.499,29.499,29.499,33850
1995-05-09,29.499,29.499,29.499,29.499,36306
1995-05-10,30.236,30.236,30.236,30.236,39325
1995-05-11,30.728,30.728,30.728,30.728,63526
1995-05-12,31.138,31.138,31.138,31.138,123596
1995-05-15,29.499,29.499,29.499,29.499,87175
1995-05-16,29.499,29.499,29.499,29.499,49326
1995-05-17,28.351,28.351,28.351,28.351,21868
1995-05-18,29.499,29.499,29.499,29.499,68918
1995-05-19,28.269,28.269,28.269,28.269,16078
1995-05-22,28.105,28.105,28.105,28.105,37145
1995-05-23,25.32,25.32,25.32,25.32,57842
1995-05-24,27.041,27.041,27.041,27.041,14368
1995-05-25,27.859,27.859,27.859,27.859,72542
1995-05-26,25.074,25.074,25.074,25.074,34757
1995-05-29,26.303,26.303,26.303,26.303,64671
1995-05-30,25.647,25.647,25.647,25.647,17213
1995-05-31,26.467,26.467,26.467,26.467,45737
1995-06-01,24.829,24.829,24.829,24.829,8640
1995-06-02,25.32,25.32,25.32,25.32,30135
1995-06-05,27.778,27.778,27.778,27.778,41346
1995-06-06,27.859,27.859,27.859,27.859,33416
1995-06-07,27.859,27.859,27.859,27.859,11647
1995-06-08,28.678,28.678,28.678,28.678,31120
1995-06-09,28.023,28.023,28.023,28.023,14881
1995-06-12,27.45,27.45,27.45,27.45,16193
1995-06-13,28.023,28.023,28.023,28.023,58057
1995-06-14,28.843,28.843,28.843,28.843,67972
1995-06-16,28.761,28.761,28.761,28.761,36699
1995-06-19,28.678,28.678,28.678,28.678,19022
1995-06-20,29.826,29.826,29.826,29.826,43435
1995-06-21,29.909,29.909,29.909,29.909,37498
1995-06-22,29.909,29.909,29.909,29.909,18289
1995-06-23,29.499,29.499,29.499,29.499,39138
1995-06-26,30.073,30.073,30.073,30.073,22978
1995-06-27,29.826,29.826,29.826,29.826,13546
1995-06-28,29.826,29.826,29.826,29.826,31365
1995-06-29,30.318,30.318,30.318,30.318,31913
1995-06-30,30.728,30.728,30.728,30.728,59117
1995-07-03,30.073,30.073,30.073,30.073,4307
1995-07-04,31.138,31.138,31.138,31.138,59962
1995-07-05,31.138,31.138,31.138,31.138,34813
1995-07-06,30.728,30.728,30.728,30.728,20324
1995-07-07,30.4,30.4,30.4,30.4,12534
1995-07-10,31.138,31.138,31.138,31.138,20185
1995-07-11,31.056,31.056,31.056,31.056,24731
1995-07-12,30.318,30.318,30.318,30.318,10078
1995-07-13,30.728,30.728,30.728,30.728,9748
1995-07-14,31.056,31.056,31.056,31.056,44388
1995-07-17,31.383,31.383,31.383,31.383,19437
1995-07-18,32.776,32.776,32.776,32.776,28543
1995-07-19,32.776,32.776,32.776,32.776,40518
1995-07-20,32.366,32.366,32.366,32.366,14893
1995-07-21,31.957,31.957,31.957,31.957,65088
1995-07-24,32.366,32.366,32.366,32.366,38095
1995-07-25,31.957,31.957,31.957,31.957,7354
1995-07-26,31.138,31.138,31.138,31.138,7901
1995-07-27,31.138,31.138,31.138,31.138,28857
1995-07-28,31.547,31.547,31.547,31.547,20620
1995-07-31,31.138,31.138,31.138,31.138,5123
1995-08-01,31.138,31.138,31.138,31.138,6840
1995-08-02,31.629,31.629,31.629,31.629,13295
1995-08-03,31.629,31.629,31.629,31.629,21326
1995-08-04,31.465,31.465,31.465,31.465,4704
1995-08-07,31.301,31.301,31.301,31.301,4328
1995-08-08,31.138,31.138,31.138,31.138,9249
1995-08-09,31.138,31.138,31.138,31.138,18048
1995-08-10,30.891,30.891,30.891,30.891,21527
1995-08-11,31.875,31.875,31.875,31.875,23923
1995-08-16,31.547,31.547,31.547,31.547,41874
1995-08-17,31.138,31.138,31.138,31.138,10308
1995-08-18,31.219,31.219,31.219,31.219,8359
